Номер строки заключения;Страница PDF начала строки;Категория;Позиция;Рекомендация
87;41;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
88;42;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
89;43;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
90;43;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
91;43;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
92;43;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
93;44;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
94;44;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
95;44;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
96;45;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
97;45;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
98;46;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
99;47;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
100;47;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
101;47;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
102;48;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
103;48;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
104;48;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
105;49;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
106;50;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
107;50;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
108;50;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
109;51;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
110;51;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
111;51;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
112;52;Постоянно проживающие;Поддерживаю с замечаниями;"Поддержка принята к сведению; замечания не рекомендованы"
113;53;Постоянно проживающие;Поддерживаю с замечаниями;"Поддержка принята к сведению; замечания не рекомендованы"
114;53;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
115;54;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
116;55;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
117;55;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
118;55;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
119;56;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
120;56;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
121;57;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
122;57;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
123;57;Постоянно проживающие;Поддерживаю с замечаниями;"Поддержка принята к сведению; замечания не рекомендованы"
124;58;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
125;59;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
126;59;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
127;60;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
128;60;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
129;61;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
130;62;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
131;62;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
132;63;Постоянно проживающие;Поддерживаю с замечаниями;"Поддержка принята к сведению; замечания не рекомендованы"
133;65;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
134;65;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
135;67;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
136;67;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
137;70;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
138;71;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
139;71;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
140;71;Постоянно проживающие;Поддерживаю с замечаниями;"Поддержка принята к сведению; замечания не рекомендованы"
141;73;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
142;73;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
143;74;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
144;75;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
145;77;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
146;78;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
147;83;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
148;83;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
149;83;Постоянно проживающие;Поддерживаю;Рекомендовано к учёту
150;83;Постоянно проживающие;Поддерживаю с замечаниями;"Поддержка принята к сведению; замечания не рекомендованы"
151;85;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
152;85;Постоянно проживающие;Не поддерживаю с замечаниями;Не рекомендовано к учёту
153;87;Иные участники;Поддерживаю;Рекомендовано к учёту
154;87;Иные участники;Поддерживаю;Рекомендовано к учёту
155;87;Иные участники;Поддерживаю;Рекомендовано к учёту
156;87;Иные участники;Поддерживаю;Рекомендовано к учёту
157;88;Иные участники;Поддерживаю;Рекомендовано к учёту
158;88;Иные участники;Поддерживаю;Рекомендовано к учёту
159;88;Иные участники;Поддерживаю;Рекомендовано к учёту
160;88;Иные участники;Поддерживаю;Рекомендовано к учёту
161;89;Иные участники;Поддерживаю;Рекомендовано к учёту
162;89;Иные участники;Поддерживаю;Рекомендовано к учёту
163;89;Иные участники;Поддерживаю;Рекомендовано к учёту
